model	objective	gene	status	value
./model.xml	obj	G_PA14_12010	optimal	1.5908505726730022
./model.xml	obj	G_PA14_12020	optimal	1.590850572672991
./model.xml	obj	G_PA14_12060	optimal	1.590850572673052
./model.xml	obj	G_PA14_12080	optimal	1.5908505726730306
./model.xml	obj	G_PA14_12100	optimal	1.590850572673052
./model.xml	obj	G_PA14_12120	optimal	1.5908505726730182
./model.xml	obj	G_PA14_12130	optimal	1.590850572673021
./model.xml	obj	G_PA14_12230	optimal	1.5908505726730102
./model.xml	obj	G_PA14_12300	optimal	1.5908505726730169
./model.xml	obj	G_PA14_12390	optimal	1.5908505726729996
./model.xml	obj	G_PA14_12400	optimal	0.0
./model.xml	obj	G_PA14_12410	optimal	0.0
./model.xml	obj	G_PA14_12490	optimal	1.5908505726730222
./model.xml	obj	G_PA14_12610	optimal	1.5908505726730175
./model.xml	obj	G_PA14_12710	optimal	1.5908505726730306
./model.xml	obj	G_PA14_12870	optimal	1.5908505726730047
./model.xml	obj	G_PA14_12890	optimal	1.5908505726730349
./model.xml	obj	G_PA14_12920	optimal	1.590850572673035
./model.xml	obj	G_PA14_12940	optimal	1.590850572673035
./model.xml	obj	G_PA14_12960	optimal	1.590850572673035
./model.xml	obj	G_PA14_12970	optimal	1.5908505726730293
./model.xml	obj	G_PA14_12990	optimal	1.5908505726730215
./model.xml	obj	G_PA14_13030	optimal	1.5908505726730169
./model.xml	obj	G_PA14_13040	optimal	1.5908505726730169
./model.xml	obj	G_PA14_13110	optimal	1.5908505726730349
./model.xml	obj	G_PA14_13170	optimal	1.5908505726730204
./model.xml	obj	G_PA14_13230	optimal	1.5908505726730091
./model.xml	obj	G_PA14_13240	optimal	1.5908505726730198
./model.xml	obj	G_PA14_13250	optimal	1.5908505726730198
./model.xml	obj	G_PA14_13290	optimal	1.5908505726730306
./model.xml	obj	G_PA14_13300	optimal	1.5908505726730306
./model.xml	obj	G_PA14_13330	optimal	1.590850572694206
./model.xml	obj	G_PA14_13430	optimal	1.5908505726730047
./model.xml	obj	G_PA14_13500	optimal	1.5908505726730087
./model.xml	obj	G_PA14_13580	optimal	1.5908505726730215
./model.xml	obj	G_PA14_13590	optimal	1.5908505726730215
./model.xml	obj	G_PA14_13600	optimal	1.5908505726730215
./model.xml	obj	G_PA14_13610	optimal	1.5908505726730215
./model.xml	obj	G_PA14_13620	optimal	1.590850572672988
./model.xml	obj	G_PA14_13750	optimal	1.5908505726730306
./model.xml	obj	G_PA14_13770	optimal	1.5908505726730306
./model.xml	obj	G_PA14_13780	optimal	1.5908505726730306
./model.xml	obj	G_PA14_13800	optimal	1.5908505726730306
./model.xml	obj	G_PA14_13810	optimal	1.5908505726730306
./model.xml	obj	G_PA14_13830	optimal	1.5908505726730306
./model.xml	obj	G_PA14_13850	optimal	1.5908505726730306
./model.xml	obj	G_PA14_14010	optimal	1.5908505726730062
./model.xml	obj	G_PA14_14020	optimal	1.5908505726729945
./model.xml	obj	G_PA14_14100	optimal	1.5908505726730222
./model.xml	obj	G_PA14_14110	optimal	1.5908505726730062
./model.xml	obj	G_PA14_14360	optimal	1.5908505726730306
./model.xml	obj	G_PA14_14370	optimal	1.5908505726730258
./model.xml	obj	G_PA14_14470	optimal	1.5908505726730222
./model.xml	obj	G_PA14_14500	optimal	1.5908505726730082
./model.xml	obj	G_PA14_14510	optimal	1.5908505726730204
./model.xml	obj	G_PA14_14530	optimal	1.5908505726730306
./model.xml	obj	G_PA14_14590	optimal	1.5908505726730349
./model.xml	obj	G_PA14_14600	optimal	1.5908505726730349
./model.xml	obj	G_PA14_14680	optimal	1.5908505726729996
./model.xml	obj	G_PA14_14700	optimal	1.5908505726730273
./model.xml	obj	G_PA14_14730	optimal	1.590850572673021
./model.xml	obj	G_PA14_14740	optimal	0.0
./model.xml	obj	G_PA14_14750	optimal	0.0
./model.xml	obj	G_PA14_14800	optimal	9.965298002649292e-11
./model.xml	obj	G_PA14_14820	optimal	-3.0487876973760664e-15
./model.xml	obj	G_PA14_14880	optimal	0.0
./model.xml	obj	G_PA14_14890	optimal	1.5908505726730102
./model.xml	obj	G_PA14_14940	optimal	1.5908505726730349
./model.xml	obj	G_PA14_15030	optimal	1.5908505726730224
./model.xml	obj	G_PA14_15160	optimal	1.5908505726730258
./model.xml	obj	G_PA14_15180	optimal	1.5908505726730306
./model.xml	obj	G_PA14_15190	optimal	1.5908505726730306
./model.xml	obj	G_PA14_15200	optimal	1.5908505726730293
./model.xml	obj	G_PA14_15310	optimal	1.5808101871008324
